"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url";"ideology";"wikidata_birthdate";"wikidata_enddate"
"Буткевич, Е. В.";"Буткевич";"Е. В.";"Е. В.";"Буткевич";"Буткевичу";"";"Буткевич, Е. В.";"random_id655d003956720beca6eed4aaadfffb9f866cbef9";"random_id655d003956720beca6eed4aaadfffb9f866cbef9";"";"";""
"Буткевичи, А. А.";"Буткевичи";"А. А.";"А. А.";"Буткевичи";"Буткевичам";"Буткевич, Анна Алексеевна";"Буткевичи, А. А.";"random_id3fec16f2a46d8fae0b641179bd87380b008c1ea2";"random_id3fec16f2a46d8fae0b641179bd87380b008c1ea2";"";"";""
"Буткевичи, Г. С.";"Буткевичи";"Г. С.";"Г. С.";"Буткевичи";"Буткевичам";"";"Буткевичи, Г. С.";"random_idc6ea541128f79f1e558d77ed779e6420835c8d3b";"random_idc6ea541128f79f1e558d77ed779e6420835c8d3b";"";"";""
"Буткина, А.";"Буткина";"А.";"А.";"Буткина";"Буткиной";"";"Буткина, А.";"random_id9fcc0f71120c527b459575b7ca40346eff182836";"random_id9fcc0f71120c527b459575b7ca40346eff182836";"";"";""
"Бутурлин, А. С.";"Бутурлин";"А. С.";"А. С.";"Бутурлин";"Бутурлину";"";"Бутурлин, А. С.";"Q72677";"https://www.wikidata.org/wiki/Q72677";"";"1872";"1938"
"Бутурлин, Михаил Петрович";"Бутурлин";"Михаил Петрович";"М. П.";"Бутурлин";"Бутурлин";"Бутурлин, Михаил Петрович";"Бутурлин, М. П.";"Q4100346";"https://www.wikidata.org/wiki/Q4100346";"";"1786";"1860"
"Бутурлина, Е. М.";"Бутурлина";"Е. М.";"Е. М.";"Бутурлина";"Бутурлиной";"";"Бутурлина, Е. М.";"random_id1239b11f3a5a4f4848389f83d6ee33b876cd2c79";"random_id1239b11f3a5a4f4848389f83d6ee33b876cd2c79";"";"";""
"Бутырский, И.";"Бутырский";"И.";"И.";"Бутырский";"Бутырский";"Бутырский, И.";"Бутырский, И.";"random_id7172fa2685bb29abad10444ca73a03734fafe553";"random_id7172fa2685bb29abad10444ca73a03734fafe553";"";"";""
"Бух, К. А.";"Бух";"Константин Андреевич";"К. А.";"Бух";"Буху";"Бух, Константин Андреевич";"Бух, К. А.";"random_idd0d3952de7735b62d49185a49fa9ed9b9cab49b5";"random_idd0d3952de7735b62d49185a49fa9ed9b9cab49b5";"";"";""
"Бух, Константин Андреевич";"Бух";"Константин Андреевич";"К. А.";"Бух";"Бух";"Бух, Константин Андреевич";"Бух, К. А.";"random_id199a0c092400c1bdc9865aa3707688bb0f667dc6";"random_id199a0c092400c1bdc9865aa3707688bb0f667dc6";"";"";""
"Бух, Л. К.";"Бух";"Л. К.";"Л. К.";"Бух";"Буху";"";"Бух, Л. К.";"random_idc4a9c044b8194310c38827893881b98470b29154";"random_idc4a9c044b8194310c38827893881b98470b29154";"";"";""
"Бухтеева, Н. Д.";"Бухтеева";"Н. Д.";"Н. Д.";"Бухтеева";"Бухтеевой";"";"Бухтеева, Н. Д.";"random_ide9f3c77ca2b7af8ba35aee55daa7a8922d1e5d76";"random_ide9f3c77ca2b7af8ba35aee55daa7a8922d1e5d76";"";"";""
"Бывшие студенты Казанского университета";"Бывшие студенты Казанского университета";"";"";"Бывшие студенты Казанского университета";"Бывшим студентам Казанского университета";"";"Бывшие студенты Казанского университета";"random_idd1b5f5ea738f16844be8d8133748fa34e7e72979";"random_idd1b5f5ea738f16844be8d8133748fa34e7e72979";"";"";""
"бывшие студенты Московского университета";"бывшие студенты Московского университета";"";"";"бывшие студенты Московского университета";"бывшим студентам Московского университета";"";"бывшие студенты Московского университета";"random_ide473892e71c444098d25481b5f2d6fe7fc0f2c2c";"random_ide473892e71c444098d25481b5f2d6fe7fc0f2c2c";"";"";""
"Быков, А. М.";"Быков";"А. М.";"А. М.";"Быков";"Быкову";"";"Быков, А. М.";"random_id8079a57eb407b465842b51fdb26a171598d5ab9a";"random_id8079a57eb407b465842b51fdb26a171598d5ab9a";"";"";""
"Быков, В. И.";"Быков";"Василий Иванович";"В. И.";"Быков";"Быкову";"Быков, Василий Иванович";"Быков, В. И.";"random_id37a4623f2c6a1492864ddd9b3a89e842dbabf222";"random_id37a4623f2c6a1492864ddd9b3a89e842dbabf222";"";"";""
"Быков, Василий Иванович";"Быков";"Василий Иванович";"В. И.";"Быков";"Быков";"Быков, Василий Иванович";"Быков, В. И.";"random_id2ea96f719110db7450a873141cb0ccf0154a73f4";"random_id2ea96f719110db7450a873141cb0ccf0154a73f4";"";"";""
"Быков, П. В.";"Быков";"П. В.";"П. В.";"Быков";"Быкову";"";"Быков, П. В.";"Q4100955";"https://www.wikidata.org/wiki/Q4100955";"";"1843";"1930"
"Быковы, В. И.";"Быковы";"Василий Иванович";"В. И.";"Быков";"Быковым";"Быков, Василий Иванович";"Быков, В. И.";"Q4100955";"https://www.wikidata.org/wiki/Q4100955";"";"1843";"1930"
"Быковы, Е. В.";"Быковы";"Е. В.";"Е. В.";"Быков";"Быковым";"";"Быков, Е. В.";"random_id3bccb0e2d7d3cb855cdd62917b451e1831f4f5e6";"random_id3bccb0e2d7d3cb855cdd62917b451e1831f4f5e6";"";"";""
"Быстренин, В. П.";"Быстренин";"В. П.";"В. П.";"Быстренин";"Быстренину";"";"Быстренин, В. П.";"random_ide9890328fe7f0b2d4ae12d284f81fc727c042a6b";"random_ide9890328fe7f0b2d4ae12d284f81fc727c042a6b";"";"";""
"Быстров";"Быстров";"";"";"Быстров";"Быстров";"Быстров";"Быстров, ";"Q4101167";"https://www.wikidata.org/wiki/Q4101167";"";"1880";""
"Быстров, Иван Павлович";"Быстров";"Иван Павлович";"И. П.";"Быстров";"Быстров";"Быстров, Иван Павлович";"Быстров, И. П.";"Q15205926";"https://www.wikidata.org/wiki/Q15205926";"";"1797";"1850"
"Быханов, Е. В.";"Быханов";"Е. В.";"Е. В.";"Быханов";"Быханову";"";"Быханов, Е. В.";"random_id9f9365f52743409a9944918f0414e46b3da82529";"random_id9f9365f52743409a9944918f0414e46b3da82529";"";"";""
"Бычков, А. Ф.";"Бычков";"А. Ф.";"А. Ф.";"Бычков";"Бычкову";"";"Бычков, А. Ф.";"random_id5dcdf0d872b8fb88b330d16bece285177d19e506";"random_id5dcdf0d872b8fb88b330d16bece285177d19e506";"";"";""
"Бычков, Г. Е.";"Бычков";"Г. Е.";"Г. Е.";"Бычков";"Бычкову";"";"Бычков, Г. Е.";"random_idaa47024641ff55492d206d36eb3ef03c4c6148b0";"random_idaa47024641ff55492d206d36eb3ef03c4c6148b0";"";"";""
"Бычков, С. И.";"Бычков";"С. И.";"С. И.";"Бычков";"Бычкову";"";"Бычков, С. И.";"random_idd0e9cbf8a98257b895b596fe8cefe9bd73b73dcb";"random_idd0e9cbf8a98257b895b596fe8cefe9bd73b73dcb";"";"";""
"Бьёрнстьерна-Бьёрнсон";"Бьёрнстьерна-Бьёрнсон";"";"";"Бьёрнстьерна-Бьёрнсон";"Бьёрнстьерне-Бьёрнсону";"";"Бьёрнстьерна-Бьёрнсон";"random_id393118435c304b47b8f0acfa779fabf53d508f7b";"random_id393118435c304b47b8f0acfa779fabf53d508f7b";"";"";""
"Бюлер, А. Я.";"Бюлер";"А. Я.";"А. Я.";"Бюлер";"Бюлеру";"";"Бюлер, А. Я.";"random_id89e5b9d8f49d8010819d6b76b82c8de7e4692561";"random_id89e5b9d8f49d8010819d6b76b82c8de7e4692561";"";"";""
"Бюлер, Ф. А.";"Бюлер";"Ф. А.";"Ф. А.";"Бюлер";"Бюлеру";"";"Бюлер, Ф. А.";"random_id7d44706ed3a38f9f1c6e86018f4b038be0ee5f9f";"random_id7d44706ed3a38f9f1c6e86018f4b038be0ee5f9f";"";"";""
"Бюрти, Ф.";"Бюрти";"Ф.";"Ф.";"Бюрти";"Бюрти";"";"Бюрти, Ф.";"random_idae7f81817be5a511b9b5c49329f3937b8fb8d85a";"random_idae7f81817be5a511b9b5c49329f3937b8fb8d85a";"";"";""
"В Азиатский департамент МИД";"В Азиатский департамент МИД";"";"";"В Азиатский департамент МИД";"В Азиатский департамент МИД";"";"В Азиатский департамент МИД";"random_id1983841aff83757c4695a170d9106a463c1467e2";"random_id1983841aff83757c4695a170d9106a463c1467e2";"";"";""
"В английские газеты";"В английские газеты";"";"";"В английские газеты";"В английские газеты";"";"В английские газеты";"random_id1fae30eb1b07cca64f31616418a26dad57b45f19";"random_id1fae30eb1b07cca64f31616418a26dad57b45f19";"";"";""
"В газету";"В газету";"";"";"В газету";"В газету";"";"В газету";"random_id5c50875261746bcc3c92aa041ba6272fc118656d";"random_id5c50875261746bcc3c92aa041ba6272fc118656d";"";"";""
"В Главное управление по дела печать";"В Главное управление по дела печать";"";"";"В Главное управление по дела печать";"В Главное управление по делам печати";"";"В Главное управление по дела печать";"random_id6e67a3fc64afc1e252eec827840ee4d2914da378";"random_id6e67a3fc64afc1e252eec827840ee4d2914da378";"";"";""
"В иностранные газеты";"В иностранные газеты";"";"";"В иностранные газеты";"В иностранные газеты";"";"В иностранные газеты";"random_id92d9137d0cf953648917d06ad639f9b3966d5ced";"random_id92d9137d0cf953648917d06ad639f9b3966d5ced";"";"";""
"В канцелярию министра народного просвещения";"В канцелярию министра народного просвещения";"";"";"В канцелярию министра народного просвещения";"В канцелярию министра народного просвещения";"";"В канцелярию министра народного просвещения";"random_id371d315b6efa6a955cb9ed66d46cdf67b0116c7f";"random_id371d315b6efa6a955cb9ed66d46cdf67b0116c7f";"";"";""
"В Книжную лавку А. Ф. Смирдина";"В Книжную лавку А. Ф. Смирдина";"";"";"В Книжную лавку А. Ф. Смирдина";"В Книжную лавку А. Ф. Смирдина";"";"В Книжную лавку А. Ф. Смирдина";"random_ide0f533b80c1e9a53e533bac3fcb4682edc88d96c";"random_ide0f533b80c1e9a53e533bac3fcb4682edc88d96c";"";"";""
"В книжную лавку А. Ф. Смирдина";"В книжную лавку А. Ф. Смирдина";"";"";"В книжную лавку А. Ф. Смирдина";"В книжную лавку А. Ф. Смирдина";"";"В книжную лавку А. Ф. Смирдина";"random_id6a281890e31152603711c2d081d431177067f3a1";"random_id6a281890e31152603711c2d081d431177067f3a1";"";"";""
"В книжный магазин «Русской мысли»";"В книжный магазин «Русской мысли»";"";"";"В книжный магазин «Русской мысли»";"В книжный магазин «Русской мысли»";"";"В книжный магазин «Русской мысли»";"random_idb4d8b66c6d84139c0dfff2d387b227fa5e78516c";"random_idb4d8b66c6d84139c0dfff2d387b227fa5e78516c";"";"";""
"В Комитет Литературного фонда";"В Комитет Литературного фонда";"";"";"В Комитет Литературного фонда";"В Комитет Литературного фонда";"";"В Комитет Литературного фонда";"random_idcda2f4a9a59ed0da4d5d8b416fa285d3213f8076";"random_idcda2f4a9a59ed0da4d5d8b416fa285d3213f8076";"";"";""
"В Контору петербургских императорских театров";"В Контору петербургских императорских театров";"";"";"В Контору петербургских императорских театров";"В Контору петербургских императорских театров";"";"В Контору петербургских императорских театров";"random_id5cb816c16f12525ea3452632b2a6478b22b3a662";"random_id5cb816c16f12525ea3452632b2a6478b22b3a662";"";"";""
"В контору с. императорских.-петербургских театров";"В контору с. императорских.-петербургских театров";"";"";"В контору с. императорских.-петербургских театров";"В контору с. императорских.-петербургских театров";"";"В контору с. императорских.-петербургских театров";"random_id9b14ad7f4964f967ad57919feae20b64e0f2a4bb";"random_id9b14ad7f4964f967ad57919feae20b64e0f2a4bb";"";"";""
"В Московский международный банк в Тула";"В Московский международный банк в Тула";"";"";"В Московский международный банк в Тула";"В Московский международный банк в Туле";"";"В Московский международный банк в Тула";"random_id57634019fffd3fbc43f72db7d876351328a3617b";"random_id57634019fffd3fbc43f72db7d876351328a3617b";"";"";""
"В Московскую контору императорских театров";"В Московскую контору императорских театров";"";"";"В Московскую контору императорских театров";"В Московскую контору императорских театров";"";"В Московскую контору императорских театров";"random_id91ec8314c30b2a5dd966a2c4399b22caa6382ec7";"random_id91ec8314c30b2a5dd966a2c4399b22caa6382ec7";"";"";""
"в Опеку, учрежденную над детьми А. С. Пушкина";"в Опеку, учрежденную над детьми А. С. Пушкина";"";"";"в Опеку, учрежденную над детьми А. С. Пушкина";"в Опеку, учрежденную над детьми А. С. Пушкина";"";"в Опеку, учрежденную над детьми А. С. Пушкина";"random_idbd12cb367083ad3f1b970c535bc635a61b24d416";"random_idbd12cb367083ad3f1b970c535bc635a61b24d416";"";"";""
"в Опеку, учрежденную над детьми и имуществом покойного А. С. Пушкина";"в Опеку, учрежденную над детьми и имуществом покойного А. С. Пушкина";"";"";"в Опеку, учрежденную над детьми и имуществом покойного А. С. Пушкина";"в Опеку, учрежденную над детьми и имуществом покойного А. С. Пушкина";"";"в Опеку, учрежденную над детьми и имуществом покойного А. С. Пушкина";"random_idb312d76e82a62a25a8cf27fb684960f2e3ad08e2";"random_idb312d76e82a62a25a8cf27fb684960f2e3ad08e2";"";"";""
"В правление товарищества печатного дела ""Народная польза""";"В правление товарищества печатного дела ""Народная польза""";"";"";"В правление товарищества печатного дела ""Народная польза""";"В правление товарищества печатного дела ""Народная польза""";"";"В правление товарищества печатного дела ""Народная польза""";"random_id9f9c42cb978eee853961277e3ab3148c89f5c59d";"random_id9f9c42cb978eee853961277e3ab3148c89f5c59d";"";"";""
"В редакцию ""Биржевых ведомостей""";"В редакцию ""Биржевых ведомостей""";"";"";"В редакцию ""Биржевых ведомостей""";"В редакцию ""Биржевых ведомостей""";"";"В редакцию ""Биржевых ведомостей""";"random_id6fbf95756c19aebedc86723d137e523807e5d158";"random_id6fbf95756c19aebedc86723d137e523807e5d158";"";"";""
"В редакцию ""Миссионерского обозрения""";"В редакцию ""Миссионерского обозрения""";"";"";"В редакцию ""Миссионерского обозрения""";"В редакцию ""Миссионерского обозрения""";"";"В редакцию ""Миссионерского обозрения""";"random_id2626b99b6952cf6f28e103bad00958d6f8ddf870";"random_id2626b99b6952cf6f28e103bad00958d6f8ddf870";"";"";""
"В редакцию ""Нового время""";"В редакцию ""Нового время""";"";"";"В редакцию ""Нового время""";"В редакцию ""Нового времени""";"";"В редакцию ""Нового время""";"random_id96a40ab238e6a93a0fc7cee9c124aca39a5a8edb";"random_id96a40ab238e6a93a0fc7cee9c124aca39a5a8edb";"";"";""
