"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url"
"Алексеев, С. Ф.";"Алексеев";"С. Ф.";"С. Ф.";"Алексеев";"Алексееву";"";"Алексеев, С. Ф.";"";""
"Алексеева, М. П.";"Алексеева";"М. П.";"М. П.";"Алексеева";"Алексеевой";"";"Алексеева, М. П.";"";""
"Алексей";"Алексей";"";"";"Алексей";"Алексею";"";"Алексей";"";""
"Алексей Кельшу";"Алексей Кельшу";"";"";"Алексей Кельшу";"Алексею Кельшу";"";"Алексей Кельшу";"";""
"Алехин, А. В.";"Алехин";"А. В.";"А. В.";"Алехин";"Алехину";"";"Алехин, А. В.";"";""
"Алехин, А. Е.";"Алехин";"А. Е.";"А. Е.";"Алехин";"Алехину";"";"Алехин, А. Е.";"";""
"Алехин, Ал. В.";"Алехин";"Ал. В.";"Ал. В.";"Алехин";"Алехину";"";"Алехин, Ал. В.";"";""
"Алехин, Арк. В.";"Алехин";"Арк. В.";"Арк. В.";"Алехин";"Алехину";"";"Алехин, Арк. В.";"";""
"Алехин, М. В.";"Алехин";"М. В.";"М. В.";"Алехин";"Алехину";"";"Алехин, М. В.";"";""
"Алина Делано";"Алина Делано";"";"";"Алина Делано";"Алине Делано";"";"Алина Делано";"";""
"Алипов, А. Е.";"Алипов";"А. Е.";"А. Е.";"Алипов";"Алипову";"";"Алипов, А. Е.";"";""
"Аллен Кларк";"Аллен Кларк";"";"";"Аллен Кларк";"Аллену Кларку";"";"Аллен Кларк";"";""
"Алмазов, А. И.";"Алмазов";"А. И.";"А. И.";"Алмазов";"Алмазову";"";"Алмазов, А. И.";"";""
"Алмазов, Б. Н.";"Алмазов";"Борис Николаевич";"Б. Н.";"Алмазов";"Алмазову";"Алмазов, Борис Николаевич";"Алмазов, Б. Н.";"";""
"Алмазов, Борис Николаевич";"Алмазов";"Борис Николаевич";"Б. Н.";"Алмазов";"Алмазов";"Алмазов, Борис Николаевич";"Алмазов, Б. Н.";"";""
"Алмазова, О. В.";"Алмазова";"О. В.";"О. В.";"Алмазова";"Алмазовой";"";"Алмазова, О. В.";"";""
"Аловерот, Н. П.";"Аловерот";"Н. П.";"Н. П.";"Аловерот";"Аловерту";"";"Аловерот, Н. П.";"";""
"Алонзо Холлистер";"Алонзо Холлистер";"";"";"Алонзо Холлистер";"Алонзо Холлистеру";"";"Алонзо Холлистер";"";""
"Алонкино, И. М.";"Алонкино";"И. М.";"И. М.";"Алонкино";"Алонкину";"";"Алонкино, И. М.";"";""
"Алтухов, Н. В.";"Алтухов";"Н. В.";"Н. В.";"Алтухов";"Алтухову";"";"Алтухов, Н. В.";"";""
"Алтхаузу, А.";"Алтхаузу";"А.";"А.";"Алтхаузу";"Алтхаузу";"";"Алтхаузу, А.";"";""
"Алчевская, Х. Д.";"Алчевская";"Христина Даниловна";"Х. Д.";"Алчевская";"Алчевской";"Алчевская, Христина Даниловна";"Алчевская, Х. Д.";"";""
"Алчевская, Христина Даниловна";"Алчевская";"Христина Даниловна";"Х. Д.";"Алчевская";"Алчевская";"Алчевская, Христина Даниловна";"Алчевская, Х. Д.";"";""
"Алчевский, А. К.";"Алчевский";"А. К.";"А. К.";"Алчевский";"Алчевскому";"";"Алчевский, А. К.";"";""
"Алътшуллер, И. Н.";"Алътшуллер";"И. Н.";"И. Н.";"Алътшуллер";"Алътшуллеру";"";"Алътшуллер, И. Н.";"";""
"Алымова, Л. М.";"Алымова";"Л. М.";"Л. М.";"Алымова";"Алымовой";"";"Алымова, Л. М.";"";""
"Альберт Ланген";"Альберт Ланген";"";"";"Альберт Ланген";"Альберту Лангену";"";"Альберт Ланген";"";""
"Альберт Шкарван";"Альберт Шкарван";"";"";"Альберт Шкарван";"Альберту Шкарвану";"";"Альберт Шкарван";"";""
"Альбертини, Н. В.";"Альбертини";"Н. В.";"Н. В.";"Альбертини";"Альбертини";"";"Альбертини, Н. В.";"";""
"Альбов, М. Н.";"Альбов";"Михаил Нилович";"М. Н.";"Альбов";"Альбову";"Альбов, Михаил Нилович";"Альбов, М. Н.";"";""
"Альбов, Михаил Нилович";"Альбов";"Михаил Нилович";"М. Н.";"Альбов";"Альбов";"Альбов, Михаил Нилович";"Альбов, М. Н.";"";""
"Альмединген, А. Н.";"Альмединген";"А. Н.";"А. Н.";"Альмединген";"Альмедингену";"";"Альмединген, А. Н.";"";""
"Альмединген, Н. А.";"Альмединген";"Н. А.";"Н. А.";"Альмединген";"Альмединген";"";"Альмединген, Н. А.";"";""
"Альтенбургская колония учащихся";"Альтенбургская колония учащихся";"";"";"Альтенбургская колония учащихся";"Альтенбургской колонии учащихся";"";"Альтенбургская колония учащихся";"";""
