"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url"
"Корш, Е. Ф.";"Корш";"Евгений Фёдорович";"Е. Ф.";"Корш";"Коршу";"Корш, Евгений Фёдорович";"Корш, Е. Ф.";"";""
"Анненков, И. В.";"Анненков";"И. В.";"И. В.";"Анненков";"Анненкову";"";"Анненков, И. В.";"";""
"Анненковы, И. В.";"Анненковы";"И. В.";"И. В.";"Анненков";"Анненковым";"";"Анненков, И. В.";"";""
"Анненковы, Ф. В.";"Анненковы";"Ф. В.";"Ф. В.";"Анненков";"Анненковым";"";"Анненков, Ф. В.";"";""
"Маркс, К.";"Маркс";"К.";"К.";"Маркс";"Марксу";"";"Маркс, К.";"";""
"Белинская, М. В.";"Белинская";"Мария Васильевна";"М. В.";"Белинская";"Белинской";"Белинская, Мария Васильевна";"Белинская, М. В.";"";""
"Салтыков-Щедрин, М. Е.";"Салтыков-Щедрин";"Михаил Евграфович";"М. Е.";"Салтыков-Щедрин";"Салтыкову-Щедрину";"Салтыков-Щедрин, Михаил Евграфович";"Салтыков-Щедрин, М. Е.";"";""
"Стасюлевич, М. М.";"Стасюлевич";"Михаил Матвеевич";"М. М.";"Стасюлевич";"Стасюлевичу";"Стасюлевич, Михаил Матвеевич";"Стасюлевич, М. М.";"";""
"Островский, М. Н.";"Островский";"Михаил Николаевич";"М. Н.";"Островский";"Островскому";"Островский, Михаил Николаевич";"Островский, М. Н.";"";""
"Огарева, Н. А.";"Огарева";"Н. А.";"Н. А.";"Огарева";"Огаревой";"";"Огарева, Н. А.";"";""
"Щербань, Н. В.";"Щербань";"Н. В.";"Н. В.";"Щербань";"Щербаню";"";"Щербань, Н. В.";"";""
